source_version,source_step_index,source_event_indices,decoded_segment_index,command_start_s,command_end_s,commands,servo_target_deg,wheel_target_rad_s,concurrent,servo_duration_s,wheel_duration_s,explicit_hold_s,final_segment_duration_s,expected_wheel_displacement_rad,command_provenance
v006_20260805_233948_654778_manual,1,[0],0,0.0,0.03866666666666667,"[""servo rear_left_hip 5.8""]","{""rear_left_hip"":5.8}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.03866666666666667,0.0,0.0,0.03866666666666667,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 5.8"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":0,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":1}]"
v006_20260805_233948_654778_manual,1,[1],1,0.03866666666666667,0.08133333333333334,"[""servo rear_left_hip 12.2""]","{""rear_left_hip"":12.2}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.042666666666666665,0.0,0.0,0.04266666666666667,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 12.2"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":1,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":1}]"
v006_20260805_233948_654778_manual,1,[2],2,0.08133333333333334,0.08800000000000001,"[""servo rear_left_hip 13.2""]","{""rear_left_hip"":13.2}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.006666666666666667,0.0,0.0,0.006666666666666668,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 13.2"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":2,""source_event_index"":2,""source_expanded_index"":0,""source_step_index"":1}]"
v006_20260805_233948_654778_manual,2,[0],3,0.08800000000000001,0.10533333333333333,"[""servo front_right_hip -2.6""]","{""front_right_hip"":-2.6}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.017333333333333333,0.0,0.0,0.017333333333333326,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip -2.6"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":3,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":2}]"
v006_20260805_233948_654778_manual,2,[1],4,0.10533333333333333,0.19066666666666668,"[""servo front_right_hip -15.4""]","{""front_right_hip"":-15.4}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.08533333333333334,0.0,0.0,0.08533333333333334,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip -15.4"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":4,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":2}]"
v006_20260805_233948_654778_manual,2,[2],5,0.19066666666666668,0.31066666666666665,"[""servo front_right_hip 2.6""]","{""front_right_hip"":2.6}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.12,0.0,0.0,0.11999999999999997,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip 2.6"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":5,""source_event_index"":2,""source_expanded_index"":0,""source_step_index"":2}]"
v006_20260805_233948_654778_manual,2,[3],6,0.31066666666666665,0.346,"[""servo front_right_hip 7.9""]","{""front_right_hip"":7.9}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.035333333333333335,0.0,0.0,0.03533333333333333,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip 7.9"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":6,""source_event_index"":3,""source_expanded_index"":0,""source_step_index"":2}]"
v006_20260805_233948_654778_manual,2,[4],7,0.346,0.37466666666666665,"[""servo front_right_hip 12.2""]","{""front_right_hip"":12.2}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.02866666666666666,0.0,0.0,0.028666666666666674,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip 12.2"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":7,""source_event_index"":4,""source_expanded_index"":0,""source_step_index"":2}]"
v006_20260805_233948_654778_manual,2,[5],8,0.37466666666666665,0.4026666666666666,"[""servo front_right_hip 16.4""]","{""front_right_hip"":16.4}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.027999999999999994,0.0,0.0,0.02799999999999997,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip 16.4"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":8,""source_event_index"":5,""source_expanded_index"":0,""source_step_index"":2}]"
v006_20260805_233948_654778_manual,2,[6],9,0.4026666666666666,0.43066666666666664,"[""servo front_right_hip 20.6""]","{""front_right_hip"":20.6}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.028000000000000018,0.0,0.0,0.028000000000000025,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip 20.6"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":9,""source_event_index"":6,""source_expanded_index"":0,""source_step_index"":2}]"
